PO_ID,Supplier,Material,Category,Quantity,Unit_Price_USD,Total_Spend_USD,Purchase_Date,Lead_Time_Days,Delivery_Date,On_Time,Facility,Country
PO-10391,PharmaCorp Global,Packaging Film,Packaging,244,14.78,3606.32,2024-04-13,8,2024-05-10,No,Facility C - Puerto Rico,USA
PO-11167,GlobalMed Ingredients,Lab Reagents,Lab Supplies,2360,120.58,284568.8,2024-04-13,17,2024-04-28,Yes,"Facility D - Cork, Ireland",Ireland
PO-10837,NovaChem Ltd,Stainless Steel Components,Manufacturing Consumables,996,234.52,233581.92,2024-04-14,31,2024-05-30,No,"Facility D - Cork, Ireland",China
PO-10951,Meridian Chem Group,Lab Reagents,Lab Supplies,1031,80.17,82655.27,2024-04-15,15,2024-05-15,No,"Facility D - Cork, Ireland",China
PO-11191,GlobalMed Ingredients,Stainless Steel Components,Manufacturing Consumables,518,302.78,156840.04,2024-04-15,36,2024-05-22,Yes,Facility E - Singapore,Ireland
PO-11077,GlobalMed Ingredients,Lab Reagents,Lab Supplies,403,114.75,46244.25,2024-04-15,18,2024-05-05,Yes,Facility E - Singapore,Ireland
PO-10540,Meridian Chem Group,Sterile Syringes,Medical Devices,1667,2.63,4384.21,2024-04-17,19,2024-05-05,Yes,Facility E - Singapore,China
PO-10201,Apex Pharma Materials,Active Pharmaceutical Ingredient (API),Raw Materials,176,546.82,96240.32,2024-04-17,45,2024-06-03,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-10570,Meridian Chem Group,Blister Packs,Packaging,1423,6.28,8936.44,2024-04-17,16,2024-05-09,No,"Facility A - New Brunswick, NJ",China
PO-10429,GlobalMed Ingredients,Blister Packs,Packaging,571,7.56,4316.76,2024-04-17,9,2024-04-26,Yes,"Facility B - Indianapolis, IN",Ireland
PO-10402,GlobalMed Ingredients,Blister Packs,Packaging,3592,8.55,30711.6,2024-04-17,13,2024-04-29,Yes,Facility E - Singapore,Ireland
PO-11078,PurePharm Supply Co,Lab Reagents,Lab Supplies,909,133.77,121596.93,2024-04-17,28,2024-05-17,Yes,Facility E - Singapore,USA
PO-10246,BioSupply Partners,Active Pharmaceutical Ingredient (API),Raw Materials,3521,529.85,1865601.85,2024-04-18,37,2024-05-23,Yes,Facility E - Singapore,Germany
PO-10375,Apex Pharma Materials,Glass Vials,Packaging,1270,6.26,7950.2,2024-04-19,16,2024-05-07,Yes,"Facility D - Cork, Ireland",Switzerland
PO-10585,PharmaCorp Global,Blister Packs,Packaging,222,7.37,1636.14,2024-04-20,8,2024-04-26,Yes,Facility C - Puerto Rico,USA
PO-11049,NovaChem Ltd,Excipients,Raw Materials,2603,58.92,153368.76,2024-04-20,20,2024-05-09,Yes,"Facility D - Cork, Ireland",China
PO-10203,Vertex Bio Supply,Sterile Syringes,Medical Devices,2281,2.6,5930.6,2024-04-21,22,2024-05-14,Yes,"Facility D - Cork, Ireland",India
PO-10377,GlobalMed Ingredients,Blister Packs,Packaging,3583,7.7,27589.1,2024-04-21,11,2024-04-30,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10656,MedSource Industries,Lab Reagents,Lab Supplies,2540,127.5,323850.0,2024-04-21,3,2024-04-25,Yes,"Facility B - Indianapolis, IN",USA
PO-10788,NovaChem Ltd,Filtration Media,Manufacturing Consumables,2692,54.17,145825.64,2024-04-21,21,2024-05-14,Yes,"Facility D - Cork, Ireland",China
PO-10093,PharmaCorp Global,Packaging Film,Packaging,824,15.87,13076.88,2024-04-22,13,2024-05-03,Yes,Facility E - Singapore,USA
PO-10840,Meridian Chem Group,Packaging Film,Packaging,499,13.39,6681.61,2024-04-24,7,2024-05-03,Yes,Facility E - Singapore,China
PO-10578,BioSupply Partners,Stainless Steel Components,Manufacturing Consumables,2434,342.99,834837.66,2024-04-25,19,2024-05-14,Yes,Facility E - Singapore,Germany
PO-10984,Vertex Bio Supply,Blister Packs,Packaging,1739,6.82,11859.98,2024-04-26,17,2024-05-15,Yes,Facility C - Puerto Rico,India
PO-10088,Vertex Bio Supply,Blister Packs,Packaging,970,7.16,6945.2,2024-04-26,9,2024-05-04,Yes,Facility C - Puerto Rico,India
PO-11018,GlobalMed Ingredients,Blister Packs,Packaging,2811,8.11,22797.21,2024-04-26,21,2024-06-03,No,"Facility B - Indianapolis, IN",Ireland
PO-10073,BioSupply Partners,Stainless Steel Components,Manufacturing Consumables,1521,286.13,435203.73,2024-04-27,42,2024-06-08,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10249,Vertex Bio Supply,Sterile Syringes,Medical Devices,2954,2.56,7562.24,2024-04-27,11,2024-05-09,Yes,Facility C - Puerto Rico,India
PO-10902,Apex Pharma Materials,Glass Vials,Packaging,746,6.02,4490.92,2024-04-29,12,2024-05-12,Yes,Facility E - Singapore,Switzerland
PO-11139,MedSource Industries,Glass Vials,Packaging,1535,5.57,8549.95,2024-05-01,16,2024-05-15,Yes,Facility C - Puerto Rico,USA
PO-10408,GlobalMed Ingredients,Packaging Film,Packaging,2708,16.13,43680.04,2024-05-01,13,2024-05-16,Yes,Facility E - Singapore,Ireland
PO-10198,Vertex Bio Supply,Excipients,Raw Materials,1117,68.47,76480.99,2024-05-01,18,2024-05-28,No,"Facility A - New Brunswick, NJ",India
PO-10257,MedSource Industries,Lab Reagents,Lab Supplies,1083,131.71,142641.93,2024-05-04,25,2024-05-30,Yes,Facility E - Singapore,USA
PO-10409,PharmaCorp Global,Filtration Media,Manufacturing Consumables,908,66.47,60354.76,2024-05-07,23,2024-05-31,Yes,Facility C - Puerto Rico,USA
PO-10521,ChemPro Solutions,Blister Packs,Packaging,247,5.52,1363.44,2024-05-08,15,2024-05-22,Yes,"Facility B - Indianapolis, IN",India
PO-10338,PharmaCorp Global,Sterile Syringes,Medical Devices,2355,3.44,8101.2,2024-05-08,22,2024-05-31,Yes,Facility C - Puerto Rico,USA
PO-10623,Apex Pharma Materials,Packaging Film,Packaging,2437,18.38,44792.06,2024-05-08,12,2024-05-22,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10183,ChemPro Solutions,Excipients,Raw Materials,2232,54.74,122179.68,2024-05-09,17,2024-05-26,Yes,Facility C - Puerto Rico,India
PO-10697,NovaChem Ltd,Glass Vials,Packaging,1160,4.05,4698.0,2024-05-13,16,2024-05-28,Yes,"Facility A - New Brunswick, NJ",China
PO-10179,Meridian Chem Group,Lab Reagents,Lab Supplies,929,103.94,96560.26,2024-05-13,23,2024-06-06,Yes,"Facility A - New Brunswick, NJ",China
PO-10973,GlobalMed Ingredients,Packaging Film,Packaging,730,14.69,10723.7,2024-05-13,6,2024-05-20,Yes,"Facility B - Indianapolis, IN",Ireland
PO-11144,PurePharm Supply Co,Excipients,Raw Materials,1069,89.57,95750.33,2024-05-14,22,2024-06-05,Yes,Facility E - Singapore,USA
PO-10829,Meridian Chem Group,Excipients,Raw Materials,1079,59.74,64459.46,2024-05-14,26,2024-06-19,No,Facility C - Puerto Rico,China
PO-10340,Meridian Chem Group,Active Pharmaceutical Ingredient (API),Raw Materials,2205,309.15,681675.75,2024-05-16,45,2024-07-02,Yes,Facility C - Puerto Rico,China
PO-10820,BioSupply Partners,Filtration Media,Manufacturing Consumables,2198,71.43,157003.14,2024-05-17,33,2024-06-20,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10260,MedSource Industries,Packaging Film,Packaging,1365,13.53,18468.45,2024-05-18,6,2024-05-24,Yes,"Facility A - New Brunswick, NJ",USA
PO-10671,MedSource Industries,Stainless Steel Components,Manufacturing Consumables,962,323.12,310841.44,2024-05-19,24,2024-06-12,Yes,"Facility A - New Brunswick, NJ",USA
PO-10397,Vertex Bio Supply,Blister Packs,Packaging,2402,6.28,15084.56,2024-05-19,9,2024-06-15,No,"Facility A - New Brunswick, NJ",India
PO-11146,BioSupply Partners,Packaging Film,Packaging,715,15.46,11053.9,2024-05-20,13,2024-05-31,Yes,"Facility B - Indianapolis, IN",Germany
PO-10954,PurePharm Supply Co,Stainless Steel Components,Manufacturing Consumables,1167,300.03,350135.01,2024-05-20,33,2024-06-20,Yes,Facility C - Puerto Rico,USA
PO-10278,NovaChem Ltd,Blister Packs,Packaging,1533,6.13,9397.29,2024-05-20,8,2024-05-29,Yes,Facility C - Puerto Rico,China
PO-11113,Vertex Bio Supply,Lab Reagents,Lab Supplies,1097,102.24,112157.28,2024-05-21,11,2024-06-01,Yes,"Facility D - Cork, Ireland",India
PO-10890,Apex Pharma Materials,Cold Chain Packaging,Packaging,245,23.49,5755.05,2024-05-21,15,2024-06-03,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-10544,PharmaCorp Global,Filtration Media,Manufacturing Consumables,1481,60.68,89867.08,2024-05-23,27,2024-06-20,Yes,"Facility D - Cork, Ireland",USA
PO-10020,Vertex Bio Supply,Cold Chain Packaging,Packaging,1557,16.57,25799.49,2024-05-23,8,2024-06-19,No,"Facility B - Indianapolis, IN",India
PO-10058,NovaChem Ltd,Packaging Film,Packaging,3592,12.43,44648.56,2024-05-24,10,2024-06-01,Yes,"Facility A - New Brunswick, NJ",China
PO-10769,Meridian Chem Group,Packaging Film,Packaging,1287,12.19,15688.53,2024-05-24,6,2024-05-31,Yes,Facility E - Singapore,China
PO-10501,MedSource Industries,Sterile Syringes,Medical Devices,4749,3.21,15244.29,2024-05-25,21,2024-06-28,No,Facility E - Singapore,USA
PO-10876,GlobalMed Ingredients,Sterile Syringes,Medical Devices,887,3.19,2829.53,2024-05-25,16,2024-06-10,Yes,"Facility D - Cork, Ireland",Ireland
PO-11053,PurePharm Supply Co,Glass Vials,Packaging,285,5.3,1510.5,2024-05-26,10,2024-06-03,Yes,Facility C - Puerto Rico,USA
PO-10845,Apex Pharma Materials,Sterile Syringes,Medical Devices,1992,3.8,7569.6,2024-05-27,14,2024-06-09,Yes,Facility E - Singapore,Switzerland
PO-11172,NovaChem Ltd,Excipients,Raw Materials,551,61.14,33688.14,2024-05-27,14,2024-06-09,Yes,"Facility B - Indianapolis, IN",China
PO-10091,PharmaCorp Global,Filtration Media,Manufacturing Consumables,2504,67.41,168794.64,2024-05-27,20,2024-07-05,No,"Facility A - New Brunswick, NJ",USA
PO-10703,PharmaCorp Global,Excipients,Raw Materials,2880,91.46,263404.8,2024-05-28,17,2024-06-15,Yes,"Facility D - Cork, Ireland",USA
PO-10105,BioSupply Partners,Blister Packs,Packaging,3471,8.28,28739.88,2024-05-28,11,2024-06-08,Yes,Facility C - Puerto Rico,Germany
PO-11017,PurePharm Supply Co,Stainless Steel Components,Manufacturing Consumables,143,311.98,44613.14,2024-05-28,35,2024-07-02,Yes,"Facility A - New Brunswick, NJ",USA
PO-10371,MedSource Industries,Blister Packs,Packaging,1847,8.41,15533.27,2024-05-29,15,2024-06-15,Yes,"Facility B - Indianapolis, IN",USA
PO-10554,Meridian Chem Group,Filtration Media,Manufacturing Consumables,1157,44.04,50954.28,2024-05-30,25,2024-06-23,Yes,Facility E - Singapore,China
PO-10541,GlobalMed Ingredients,Sterile Syringes,Medical Devices,1782,2.92,5203.44,2024-05-30,27,2024-06-28,Yes,Facility E - Singapore,Ireland
PO-11034,PharmaCorp Global,Cold Chain Packaging,Packaging,640,25.01,16006.4,2024-05-31,12,2024-06-10,Yes,"Facility D - Cork, Ireland",USA
PO-10339,PurePharm Supply Co,Sterile Syringes,Medical Devices,118,3.56,420.08,2024-06-01,22,2024-06-25,Yes,"Facility D - Cork, Ireland",USA
PO-11133,GlobalMed Ingredients,Active Pharmaceutical Ingredient (API),Raw Materials,710,438.83,311569.3,2024-06-02,62,2024-08-03,Yes,Facility E - Singapore,Ireland
PO-10161,BioSupply Partners,Blister Packs,Packaging,1395,7.68,10713.6,2024-06-02,15,2024-06-19,Yes,"Facility B - Indianapolis, IN",Germany
PO-10305,BioSupply Partners,Sterile Syringes,Medical Devices,1154,3.77,4350.58,2024-06-02,20,2024-06-24,Yes,"Facility D - Cork, Ireland",Germany
PO-10372,PharmaCorp Global,Glass Vials,Packaging,473,5.86,2771.78,2024-06-03,17,2024-06-18,Yes,Facility C - Puerto Rico,USA
PO-11181,PharmaCorp Global,Excipients,Raw Materials,1205,83.84,101027.2,2024-06-04,11,2024-06-15,Yes,Facility E - Singapore,USA
PO-10986,Meridian Chem Group,Stainless Steel Components,Manufacturing Consumables,1618,213.06,344731.08,2024-06-04,36,2024-07-09,Yes,"Facility A - New Brunswick, NJ",China
PO-10231,BioSupply Partners,Active Pharmaceutical Ingredient (API),Raw Materials,1756,532.17,934490.52,2024-06-04,36,2024-07-08,Yes,"Facility D - Cork, Ireland",Germany
PO-10736,NovaChem Ltd,Stainless Steel Components,Manufacturing Consumables,1656,210.99,349399.44,2024-06-05,41,2024-07-20,No,"Facility D - Cork, Ireland",China
PO-11135,Vertex Bio Supply,Glass Vials,Packaging,1892,4.55,8608.6,2024-06-05,12,2024-06-30,No,"Facility A - New Brunswick, NJ",India
PO-10131,PharmaCorp Global,Packaging Film,Packaging,4372,14.16,61907.52,2024-06-05,12,2024-06-18,Yes,Facility C - Puerto Rico,USA
PO-10681,NovaChem Ltd,Glass Vials,Packaging,1311,3.49,4575.39,2024-06-06,12,2024-06-24,No,"Facility B - Indianapolis, IN",China
PO-10471,PurePharm Supply Co,Blister Packs,Packaging,3304,8.43,27852.72,2024-06-06,8,2024-07-01,No,"Facility A - New Brunswick, NJ",USA
PO-10293,PharmaCorp Global,Active Pharmaceutical Ingredient (API),Raw Materials,1182,478.0,564996.0,2024-06-07,49,2024-07-25,Yes,"Facility B - Indianapolis, IN",USA
PO-10207,Meridian Chem Group,Filtration Media,Manufacturing Consumables,1096,52.21,57222.16,2024-06-07,25,2024-07-02,Yes,"Facility A - New Brunswick, NJ",China
PO-10996,GlobalMed Ingredients,Glass Vials,Packaging,516,5.26,2714.16,2024-06-08,11,2024-06-20,Yes,Facility C - Puerto Rico,Ireland
PO-10888,Meridian Chem Group,Lab Reagents,Lab Supplies,966,107.24,103593.84,2024-06-08,14,2024-07-07,No,Facility C - Puerto Rico,China
PO-10152,ChemPro Solutions,Excipients,Raw Materials,420,56.1,23562.0,2024-06-09,23,2024-07-03,Yes,"Facility B - Indianapolis, IN",India
PO-11196,NovaChem Ltd,Packaging Film,Packaging,1272,12.02,15289.44,2024-06-09,5,2024-06-13,Yes,"Facility B - Indianapolis, IN",China
PO-10633,Apex Pharma Materials,Glass Vials,Packaging,2013,5.67,11413.71,2024-06-09,15,2024-06-23,Yes,"Facility D - Cork, Ireland",Switzerland
PO-10094,GlobalMed Ingredients,Filtration Media,Manufacturing Consumables,133,61.77,8215.41,2024-06-10,22,2024-07-01,Yes,Facility E - Singapore,Ireland
PO-10705,PurePharm Supply Co,Lab Reagents,Lab Supplies,3160,119.23,376766.8,2024-06-11,29,2024-07-12,Yes,"Facility A - New Brunswick, NJ",USA
PO-10423,Meridian Chem Group,Blister Packs,Packaging,2065,5.58,11522.7,2024-06-12,14,2024-06-25,Yes,Facility E - Singapore,China
PO-10918,PurePharm Supply Co,Filtration Media,Manufacturing Consumables,414,74.23,30731.22,2024-06-13,32,2024-07-16,Yes,"Facility D - Cork, Ireland",USA
PO-10813,Vertex Bio Supply,Blister Packs,Packaging,746,6.72,5013.12,2024-06-13,6,2024-06-18,Yes,"Facility B - Indianapolis, IN",India
PO-10490,Meridian Chem Group,Blister Packs,Packaging,4204,6.06,25476.24,2024-06-13,19,2024-07-04,Yes,Facility C - Puerto Rico,China
PO-10370,MedSource Industries,Glass Vials,Packaging,1156,5.17,5976.52,2024-06-14,10,2024-06-23,Yes,Facility E - Singapore,USA
PO-11110,BioSupply Partners,Excipients,Raw Materials,811,89.04,72211.44,2024-06-14,17,2024-07-03,Yes,"Facility A - New Brunswick, NJ",Germany
PO-11102,NovaChem Ltd,Cold Chain Packaging,Packaging,1069,14.13,15104.97,2024-06-15,9,2024-06-24,Yes,"Facility A - New Brunswick, NJ",China
PO-10003,GlobalMed Ingredients,Glass Vials,Packaging,846,4.6,3891.6,2024-06-15,15,2024-06-28,Yes,"Facility D - Cork, Ireland",Ireland
PO-10317,ChemPro Solutions,Packaging Film,Packaging,1272,12.74,16205.28,2024-06-16,11,2024-06-25,Yes,Facility E - Singapore,India
PO-10574,BioSupply Partners,Blister Packs,Packaging,1660,9.77,16218.2,2024-06-16,11,2024-06-27,Yes,"Facility D - Cork, Ireland",Germany
PO-10817,MedSource Industries,Cold Chain Packaging,Packaging,3208,21.69,69581.52,2024-06-18,13,2024-06-29,Yes,Facility E - Singapore,USA
PO-10985,Vertex Bio Supply,Cold Chain Packaging,Packaging,2297,15.65,35948.05,2024-06-19,17,2024-07-06,Yes,Facility C - Puerto Rico,India
PO-10500,PurePharm Supply Co,Excipients,Raw Materials,979,92.6,90655.4,2024-06-19,20,2024-07-09,Yes,"Facility B - Indianapolis, IN",USA
PO-10173,BioSupply Partners,Lab Reagents,Lab Supplies,1094,116.35,127286.9,2024-06-20,11,2024-06-29,Yes,Facility C - Puerto Rico,Germany
PO-10456,NovaChem Ltd,Blister Packs,Packaging,167,5.14,858.38,2024-06-20,14,2024-07-04,Yes,Facility C - Puerto Rico,China
PO-11037,Apex Pharma Materials,Lab Reagents,Lab Supplies,1304,136.99,178634.96,2024-06-20,11,2024-06-29,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-10611,BioSupply Partners,Filtration Media,Manufacturing Consumables,1443,62.28,89870.04,2024-06-20,26,2024-07-15,Yes,Facility E - Singapore,Germany
PO-10192,GlobalMed Ingredients,Excipients,Raw Materials,573,91.13,52217.49,2024-06-21,9,2024-07-01,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10913,MedSource Industries,Packaging Film,Packaging,1240,13.47,16702.8,2024-06-23,10,2024-07-02,Yes,Facility C - Puerto Rico,USA
PO-10599,GlobalMed Ingredients,Filtration Media,Manufacturing Consumables,1684,74.17,124902.28,2024-06-24,23,2024-07-15,Yes,"Facility D - Cork, Ireland",Ireland
PO-10090,GlobalMed Ingredients,Glass Vials,Packaging,1081,5.73,6194.13,2024-06-25,12,2024-07-06,Yes,Facility E - Singapore,Ireland
PO-10806,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,335,346.8,116178.0,2024-06-26,45,2024-08-10,Yes,Facility E - Singapore,China
PO-10778,GlobalMed Ingredients,Cold Chain Packaging,Packaging,1354,24.74,33497.96,2024-06-26,21,2024-07-15,Yes,Facility C - Puerto Rico,Ireland
PO-10722,PurePharm Supply Co,Sterile Syringes,Medical Devices,3271,3.69,12069.99,2024-06-26,12,2024-07-07,Yes,"Facility A - New Brunswick, NJ",USA
PO-10571,BioSupply Partners,Filtration Media,Manufacturing Consumables,1091,83.42,91011.22,2024-06-27,24,2024-07-22,Yes,"Facility B - Indianapolis, IN",Germany
PO-10387,Apex Pharma Materials,Blister Packs,Packaging,1473,9.67,14243.91,2024-06-28,10,2024-07-10,Yes,"Facility D - Cork, Ireland",Switzerland
PO-10582,MedSource Industries,Filtration Media,Manufacturing Consumables,77,66.56,5125.12,2024-06-29,37,2024-08-06,Yes,Facility E - Singapore,USA
PO-10214,NovaChem Ltd,Filtration Media,Manufacturing Consumables,1734,45.41,78740.94,2024-06-30,23,2024-07-21,Yes,Facility E - Singapore,China
PO-10644,Meridian Chem Group,Cold Chain Packaging,Packaging,1138,19.68,22395.84,2024-06-30,12,2024-07-12,Yes,Facility C - Puerto Rico,China
PO-10113,MedSource Industries,Packaging Film,Packaging,1716,13.99,24006.84,2024-07-01,13,2024-07-15,Yes,Facility E - Singapore,USA
PO-10189,Apex Pharma Materials,Glass Vials,Packaging,352,5.75,2024.0,2024-07-01,12,2024-07-14,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-10245,PurePharm Supply Co,Blister Packs,Packaging,2417,9.62,23251.54,2024-07-01,10,2024-07-13,Yes,Facility C - Puerto Rico,USA
PO-10483,GlobalMed Ingredients,Cold Chain Packaging,Packaging,1536,21.29,32701.44,2024-07-01,15,2024-07-17,Yes,"Facility B - Indianapolis, IN",Ireland
PO-10561,NovaChem Ltd,Filtration Media,Manufacturing Consumables,1712,43.12,73821.44,2024-07-02,29,2024-08-19,No,Facility E - Singapore,China
PO-10458,MedSource Industries,Stainless Steel Components,Manufacturing Consumables,3120,319.08,995529.6,2024-07-03,36,2024-08-08,Yes,"Facility D - Cork, Ireland",USA
PO-10153,ChemPro Solutions,Blister Packs,Packaging,4582,6.06,27766.92,2024-07-03,11,2024-07-14,Yes,"Facility B - Indianapolis, IN",India
PO-10537,Meridian Chem Group,Filtration Media,Manufacturing Consumables,477,57.79,27565.83,2024-07-04,29,2024-07-31,Yes,"Facility D - Cork, Ireland",China
PO-10706,Meridian Chem Group,Lab Reagents,Lab Supplies,318,81.6,25948.8,2024-07-05,12,2024-07-31,No,"Facility B - Indianapolis, IN",China
PO-10747,MedSource Industries,Packaging Film,Packaging,3026,15.38,46539.88,2024-07-05,9,2024-07-12,Yes,"Facility A - New Brunswick, NJ",USA
PO-10762,PurePharm Supply Co,Excipients,Raw Materials,691,80.82,55846.62,2024-07-05,20,2024-07-26,Yes,"Facility A - New Brunswick, NJ",USA
PO-10252,MedSource Industries,Glass Vials,Packaging,441,5.32,2346.12,2024-07-06,18,2024-07-24,Yes,Facility C - Puerto Rico,USA
PO-10818,MedSource Industries,Lab Reagents,Lab Supplies,1051,120.32,126456.32,2024-07-06,18,2024-07-22,Yes,"Facility B - Indianapolis, IN",USA
PO-10919,BioSupply Partners,Cold Chain Packaging,Packaging,2741,22.52,61727.32,2024-07-06,9,2024-07-16,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10002,Vertex Bio Supply,Active Pharmaceutical Ingredient (API),Raw Materials,67,421.44,28236.48,2024-07-08,51,2024-08-28,Yes,"Facility D - Cork, Ireland",India
PO-10366,ChemPro Solutions,Packaging Film,Packaging,1034,12.43,12852.62,2024-07-09,12,2024-07-21,Yes,Facility E - Singapore,India
PO-10313,ChemPro Solutions,Glass Vials,Packaging,588,4.34,2551.92,2024-07-09,16,2024-07-26,Yes,"Facility A - New Brunswick, NJ",India
PO-10625,NovaChem Ltd,Sterile Syringes,Medical Devices,1343,2.16,2900.88,2024-07-10,14,2024-07-23,Yes,Facility C - Puerto Rico,China
PO-10401,PurePharm Supply Co,Excipients,Raw Materials,2144,80.02,171562.88,2024-07-10,20,2024-08-01,Yes,Facility E - Singapore,USA
PO-11190,ChemPro Solutions,Glass Vials,Packaging,873,3.54,3090.42,2024-07-10,11,2024-08-06,No,Facility E - Singapore,India
PO-10525,GlobalMed Ingredients,Stainless Steel Components,Manufacturing Consumables,187,266.38,49813.06,2024-07-10,42,2024-08-20,Yes,"Facility D - Cork, Ireland",Ireland
PO-10560,NovaChem Ltd,Cold Chain Packaging,Packaging,1458,16.03,23371.74,2024-07-11,18,2024-07-29,Yes,"Facility A - New Brunswick, NJ",China
PO-10842,NovaChem Ltd,Blister Packs,Packaging,3494,5.67,19810.98,2024-07-12,9,2024-07-19,Yes,"Facility B - Indianapolis, IN",China
PO-10777,Meridian Chem Group,Stainless Steel Components,Manufacturing Consumables,1572,204.42,321348.24,2024-07-13,27,2024-08-11,Yes,Facility C - Puerto Rico,China
PO-11150,ChemPro Solutions,Active Pharmaceutical Ingredient (API),Raw Materials,804,309.46,248805.84,2024-07-13,52,2024-09-03,Yes,Facility E - Singapore,India
PO-10345,PurePharm Supply Co,Stainless Steel Components,Manufacturing Consumables,1293,360.11,465622.23,2024-07-13,36,2024-08-17,Yes,"Facility A - New Brunswick, NJ",USA
PO-10082,PharmaCorp Global,Blister Packs,Packaging,1300,7.5,9750.0,2024-07-14,16,2024-07-28,Yes,Facility E - Singapore,USA
PO-10459,BioSupply Partners,Filtration Media,Manufacturing Consumables,953,79.89,76135.17,2024-07-15,24,2024-08-08,Yes,"Facility B - Indianapolis, IN",Germany
PO-11072,PharmaCorp Global,Excipients,Raw Materials,1196,84.33,100858.68,2024-07-16,25,2024-08-09,Yes,Facility C - Puerto Rico,USA
PO-10627,Vertex Bio Supply,Active Pharmaceutical Ingredient (API),Raw Materials,905,418.5,378742.5,2024-07-16,38,2024-08-21,Yes,Facility C - Puerto Rico,India
PO-10613,BioSupply Partners,Sterile Syringes,Medical Devices,722,3.72,2685.84,2024-07-16,22,2024-08-05,Yes,"Facility D - Cork, Ireland",Germany
PO-10134,Apex Pharma Materials,Stainless Steel Components,Manufacturing Consumables,249,380.69,94791.81,2024-07-17,26,2024-08-13,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-11000,Vertex Bio Supply,Packaging Film,Packaging,550,10.76,5918.0,2024-07-17,10,2024-07-28,Yes,Facility E - Singapore,India
PO-10551,NovaChem Ltd,Filtration Media,Manufacturing Consumables,2748,51.69,142044.12,2024-07-17,25,2024-08-11,Yes,Facility C - Puerto Rico,China
PO-10927,Vertex Bio Supply,Stainless Steel Components,Manufacturing Consumables,946,258.3,244351.8,2024-07-17,44,2024-08-28,Yes,"Facility A - New Brunswick, NJ",India
PO-10935,PurePharm Supply Co,Filtration Media,Manufacturing Consumables,750,70.26,52695.0,2024-07-18,20,2024-08-11,No,Facility E - Singapore,USA
PO-10443,Vertex Bio Supply,Lab Reagents,Lab Supplies,1251,90.5,113215.5,2024-07-18,9,2024-08-14,No,Facility C - Puerto Rico,India
PO-10410,ChemPro Solutions,Sterile Syringes,Medical Devices,301,2.57,773.57,2024-07-19,21,2024-08-08,Yes,"Facility D - Cork, Ireland",India
PO-10712,Vertex Bio Supply,Excipients,Raw Materials,1188,70.8,84110.4,2024-07-19,24,2024-08-10,Yes,Facility E - Singapore,India
PO-11131,Apex Pharma Materials,Cold Chain Packaging,Packaging,793,26.99,21403.07,2024-07-20,20,2024-08-08,Yes,Facility E - Singapore,Switzerland
PO-10865,NovaChem Ltd,Packaging Film,Packaging,541,9.94,5377.54,2024-07-20,6,2024-07-24,Yes,"Facility B - Indianapolis, IN",China
PO-11175,ChemPro Solutions,Active Pharmaceutical Ingredient (API),Raw Materials,1478,307.29,454174.62,2024-07-20,36,2024-08-23,Yes,Facility E - Singapore,India
PO-10413,GlobalMed Ingredients,Lab Reagents,Lab Supplies,2130,122.92,261819.6,2024-07-20,15,2024-08-04,Yes,Facility C - Puerto Rico,Ireland
PO-10760,Vertex Bio Supply,Filtration Media,Manufacturing Consumables,1405,55.09,77401.45,2024-07-21,14,2024-08-02,Yes,"Facility D - Cork, Ireland",India
PO-11178,Apex Pharma Materials,Stainless Steel Components,Manufacturing Consumables,2410,320.7,772887.0,2024-07-21,28,2024-08-19,Yes,Facility E - Singapore,Switzerland
PO-10255,PharmaCorp Global,Active Pharmaceutical Ingredient (API),Raw Materials,2598,432.51,1123660.98,2024-07-22,63,2024-09-24,Yes,"Facility A - New Brunswick, NJ",USA
PO-11029,GlobalMed Ingredients,Blister Packs,Packaging,373,8.34,3110.82,2024-07-22,15,2024-08-04,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10988,GlobalMed Ingredients,Stainless Steel Components,Manufacturing Consumables,1962,267.43,524697.66,2024-07-22,34,2024-08-25,Yes,"Facility B - Indianapolis, IN",Ireland
PO-10831,Meridian Chem Group,Active Pharmaceutical Ingredient (API),Raw Materials,432,357.76,154552.32,2024-07-23,39,2024-09-02,Yes,"Facility A - New Brunswick, NJ",China
PO-10346,MedSource Industries,Excipients,Raw Materials,2680,79.16,212148.8,2024-07-23,18,2024-08-12,Yes,Facility E - Singapore,USA
PO-10135,BioSupply Partners,Glass Vials,Packaging,1695,5.57,9441.15,2024-07-24,21,2024-08-12,Yes,"Facility A - New Brunswick, NJ",Germany
PO-10373,BioSupply Partners,Glass Vials,Packaging,2177,5.8,12626.6,2024-07-25,11,2024-08-06,Yes,"Facility D - Cork, Ireland",Germany
